fips,familyCode,weightCensus,ageAdjustment,weightFinal,
41021,a1i2p0s0t0,,0.25,,
41021,a1i1p1s0t0,,0.5,,
41021,a1i1p0s1t0,,0.2692,,
41021,a1i1p0s0t1,,0.2308,,
41021,a1i0p2s0t0,,0.25,,
41021,a1i0p1s1t0,,0.2692,,
41021,a1i0p1s0t1,,0.2308,,
41021,a1i0p0s2t0,,0.2899,,
41021,a1i0p0s1t1,,0.497,,
41021,a1i0p0s0t2,,0.213,,
41021,a2i2p0s0t0,,0.25,,
41021,a2i1p1s0t0,,0.5,,
41021,a2i1p0s1t0,,0.2692,,
41021,a2i1p0s0t1,,0.2308,,
41021,a2i0p2s0t0,,0.25,,
41021,a2i0p1s1t0,,0.2692,,
41021,a2i0p1s0t1,,0.2308,,
41021,a2i0p0s2t0,,0.2899,,
41021,a2i0p0s1t1,,0.497,,
41021,a2i0p0s0t2,,0.213,,
41023,a1i2p0s0t0,,0.25,,
41023,a1i1p1s0t0,,0.5,,
41023,a1i1p0s1t0,,0.2692,,
41023,a1i1p0s0t1,,0.2308,,
41023,a1i0p2s0t0,,0.25,,
41023,a1i0p1s1t0,,0.2692,,
41023,a1i0p1s0t1,,0.2308,,
41023,a1i0p0s2t0,,0.2899,,
41023,a1i0p0s1t1,,0.497,,
41023,a1i0p0s0t2,,0.213,,
41023,a2i2p0s0t0,,0.25,,
41023,a2i1p1s0t0,,0.5,,
41023,a2i1p0s1t0,,0.2692,,
41023,a2i1p0s0t1,,0.2308,,
41023,a2i0p2s0t0,,0.25,,
41023,a2i0p1s1t0,,0.2692,,
41023,a2i0p1s0t1,,0.2308,,
41023,a2i0p0s2t0,,0.2899,,
41023,a2i0p0s1t1,,0.497,,
41023,a2i0p0s0t2,,0.213,,
41025,a1i2p0s0t0,,0.25,,
41025,a1i1p1s0t0,,0.5,,
41025,a1i1p0s1t0,,0.2692,,
41025,a1i1p0s0t1,,0.2308,,
41025,a1i0p2s0t0,,0.25,,
41025,a1i0p1s1t0,,0.2692,,
41025,a1i0p1s0t1,,0.2308,,
41025,a1i0p0s2t0,,0.2899,,
41025,a1i0p0s1t1,,0.497,,
41025,a1i0p0s0t2,,0.213,,
41025,a2i2p0s0t0,,0.25,,
41025,a2i1p1s0t0,,0.5,,
41025,a2i1p0s1t0,,0.2692,,
41025,a2i1p0s0t1,,0.2308,,
41025,a2i0p2s0t0,,0.25,,
41025,a2i0p1s1t0,,0.2692,,
41025,a2i0p1s0t1,,0.2308,,
41025,a2i0p0s2t0,,0.2899,,
41025,a2i0p0s1t1,,0.497,,
41025,a2i0p0s0t2,,0.213,,
41027,a1i2p0s0t0,,0.25,,
41027,a1i1p1s0t0,,0.5,,
41027,a1i1p0s1t0,,0.2692,,
41027,a1i1p0s0t1,,0.2308,,
41027,a1i0p2s0t0,,0.25,,
41027,a1i0p1s1t0,,0.2692,,
41027,a1i0p1s0t1,,0.2308,,
