GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45
0500000US41039,41039,"Lane County, Oregon",86324,1048,57132,1129,3484,380,37,51,57,45,3390,380,6160,447,189,85,493,142,5478,389,7738,457,474,131,1592,217,5672,381,14143,745,2564,302,5951,421,5628,455,25187,957,13484,693,8840,573,2863,322,420,147,29192,776,6386,465,1289,251,1440,207,3657,334,6720,520,4117,388,1836,261,767,177,4286,333,3871,335,326,100,89,63,4887,450,4806,440,64,41,17,25,6517,406,6509,405,8,12,0,28,396,121
0500000US41041,41041,"Lincoln County, Oregon",13694,429,7869,429,738,178,8,17,16,17,714,176,956,214,20,19,120,70,816,191,1232,189,118,60,355,109,759,145,1732,245,358,100,721,146,653,156,3159,337,1742,265,979,184,438,119,52,37,5825,350,1405,218,319,104,245,96,841,179,1451,195,889,151,365,98,197,84,842,167,712,156,100,47,30,47,869,134,833,133,36,30,0,25,1179,215,1171,214,8,13,0,25,79,59
0500000US41043,41043,"Linn County, Oregon",29852,740,19552,717,1114,201,0,28,0,28,1114,201,2051,271,61,49,179,79,1811,269,3012,382,498,186,631,158,1883,284,5171,458,1067,213,2350,323,1754,222,8139,489,4501,391,2932,323,706,177,65,40,10300,576,2183,307,611,203,456,136,1116,213,2166,291,1451,255,544,135,171,58,1970,297,1772,277,186,72,12,16,1916,312,1888,312,28,28,0,28,1921,240,1921,240,0,28,0,28,144,99
0500000US41045,41045,"Malheur County, Oregon",6248,272,3375,228,252,75,0,25,3,6,249,75,472,112,16,17,78,36,378,108,478,105,68,27,152,74,258,70,979,135,409,101,412,99,158,75,1173,178,789,161,259,83,125,75,21,20,2873,208,715,122,139,54,193,87,383,101,602,132,475,113,90,44,37,25,522,97,486,93,36,26,0,25,454,103,449,102,5,7,0,25,552,112,552,112,0,25,0,25,28,24
0500000US41047,41047,"Marion County, Oregon",68266,1012,47449,1138,2312,304,0,28,12,18,2300,305,4674,452,85,57,388,93,4201,424,6803,531,423,115,1331,265,5049,449,12102,741,2015,263,5084,482,5003,483,21448,792,11208,705,7881,556,2359,306,110,67,20817,852,3394,335,436,148,557,111,2401,323,4804,385,2073,280,1820,264,911,165,3249,344,2799,310,435,143,15,25,3903,371,3838,357,65,47,0,28,5324,466,5315,464,9,14,0,28,143,71
0500000US41049,41049,"Morrow County, Oregon",2737,162,1620,141,41,26,0,19,0,19,41,26,147,57,0,19,15,14,132,55,277,94,14,14,115,49,148,71,479,92,231,64,151,59,97,54,672,122,523,110,87,42,62,37,4,6,1117,123,171,67,46,38,32,25,93,46,294,75,188,61,100,43,6,10,138,55,133,54,5,9,0,19,224,74,222,75,0,19,2,5,286,80,267,74,19,26,0,19,4,7
0500000US41051,41051,"Multnomah County, Oregon",165713,1967,125918,1745,5643,512,15,24,39,31,5589,516,8834,646,50,34,460,100,8324,638,13695,674,468,105,2085,280,11142,602,25123,972,2681,300,8694,545,13748,808,72018,1331,34983,1013,26903,971,10132,650,605,154,39795,946,6854,481,434,107,1012,187,5408,438,7234,475,2471,240,2864,292,1899,281,6062,435,4327,357,1519,227,216,82,7489,508,6922,527,450,124,117,66,11705,572,11523,575,168,59,14,18,451,141
0500000US41053,41053,"Polk County, Oregon",18456,509,13224,519,527,139,0,28,0,28,527,139,1188,247,37,35,76,49,1075,240,1459,257,73,61,328,111,1058,215,3271,377,617,153,1219,268,1435,278,6764,526,3689,382,2339,309,736,149,15,20,5232,420,818,181,122,57,180,97,516,128,1224,225,675,159,471,166,78,51,793,188,700,183,73,61,20,24,1028,175,999,174,29,23,0,28,1334,240,1334,240,0,28,0,28,35,34
0500000US41055,41055,"Sherman County, Oregon",537,60,186,32,16,10,0,12,1,2,15,10,30,11,1,2,10,8,19,9,34,16,10,8,7,5,17,13,40,16,13,8,21,13,6,6,64,23,59,22,5,4,0,12,2,3,351,51,78,33,8,8,4,5,66,34,76,22,47,16,20,11,9,9,38,13,36,13,2,4,0,12,73,25,73,25,0,12,0,12,82,21,82,21,0,12,0,12,4,6
0500000US41057,41057,"Tillamook County, Oregon",7150,324,4228,268,315,98,0,22,2,3,313,98,596,116,20,23,69,52,507,111,781,150,54,39,252,84,475,109,1116,177,244,89,418,96,454,146,1415,181,795,172,478,123,142,65,5,9,2922,219,662,147,169,74,63,36,430,132,646,145,434,114,131,56,81,62,447,115,405,105,42,39,0,22,535,139,534,139,1,4,0,22,581,124,581,124,0,22,0,22,51,43
0500000US41059,41059,"Umatilla County, Oregon",17051,421,10548,457,614,167,0,28,0,28,614,167,973,173,11,15,108,58,854,161,1236,226,233,108,435,113,568,160,2813,352,934,208,1132,199,747,196,4885,408,3491,300,1185,252,209,88,27,27,6503,450,1254,200,311,89,277,94,666,181,1362,241,927,188,379,118,56,35,978,183,884,180,74,44,20,22,1178,194,1175,194,3,5,0,28,1650,218,1650,218,0,28,0,28,81,69
0500000US41061,41061,"Union County, Oregon",6491,226,3920,242,246,67,15,23,15,18,216,66,504,116,27,22,83,45,394,100,524,98,77,37,155,55,292,75,977,172,380,97,409,121,188,66,1648,166,1225,159,282,75,141,56,21,21,2571,188,572,111,116,67,149,47,307,88,522,98,357,87,145,61,20,15,456,92,454,92,2,5,0,22,399,82,399,82,0,22,0,22,611,107,611,107,0,22,0,22,11,9
0500000US41063,41063,"Wallowa County, Oregon",2214,122,1143,130,68,33,0,17,0,17,68,33,156,51,0,17,17,17,139,50,159,48,18,15,44,25,97,37,334,85,97,37,135,54,102,52,426,67,314,73,93,38,19,14,0,17,1071,109,280,76,21,16,60,35,199,71,184,48,110,44,43,32,31,18,251,62,223,62,18,12,10,11,158,46,158,46,0,17,0,17,198,70,198,70,0,17,0,17,0,17
0500000US41065,41065,"Wasco County, Oregon",6234,312,3996,272,201,78,4,7,0,22,197,77,501,102,11,12,75,43,415,98,835,168,115,63,185,82,535,127,846,143,247,77,295,100,304,88,1613,166,1000,161,427,123,186,75,0,22,2238,215,293,87,55,35,29,22,209,76,710,133,504,127,104,48,102,47,477,95,459,97,10,9,8,13,304,97,293,97,8,10,3,4,443,110,440,110,3,5,0,22,11,13
0500000US41067,41067,"Washington County, Oregon",122999,1385,95032,1357,3611,440,13,20,0,28,3598,439,5988,540,87,58,326,134,5575,512,8302,560,316,119,1248,220,6738,528,17256,841,1606,289,5806,434,9844,680,59701,1245,28757,860,22522,1002,8422,646,174,94,27967,901,3272,340,287,100,488,133,2497,308,4840,444,1834,300,2080,272,926,203,3935,444,2937,370,850,202,148,103,5621,398,5312,392,309,110,0,28,10114,527,10080,525,24,26,10,16,185,77
0500000US41069,41069,"Wheeler County, Oregon",450,40,190,33,35,20,0,12,0,12,35,20,33,16,3,6,8,9,22,12,42,16,5,5,20,12,17,10,36,11,19,9,8,6,9,6,43,15,36,15,7,5,0,12,1,2,260,39,69,23,22,11,16,10,31,14,64,15,48,17,13,11,3,4,36,16,34,16,2,3,0,12,42,17,42,17,0,12,0,12,47,21,47,21,0,12,0,12,2,3
0500000US41071,41071,"Yamhill County, Oregon",23494,540,16768,617,720,164,0,28,4,8,716,164,1191,238,25,26,36,34,1130,233,2252,325,154,117,314,121,1784,304,3791,383,470,122,1540,219,1781,297,8605,509,3834,345,3355,396,1416,281,209,134,6726,462,1324,228,129,73,354,122,841,181,1541,225,965,202,450,108,126,53,1131,234,1029,222,90,46,12,19,1121,201,1093,200,28,28,0,28,1605,266,1605,266,0,28,0,28,4,7
