"","fips","familyCode","weight"
"50",41023,"a2i1p1s0t0",0.00582
"51",41025,"a2i1p1s0t0",0.006014
"52",41027,"a2i1p1s0t0",0.0093896
"53",41029,"a2i1p1s0t0",0.0093508
"54",41031,"a2i1p1s0t0",0.0040352
"55",41033,"a2i1p1s0t0",0.0078764
"56",41035,"a2i1p1s0t0",0.0062856
"57",41037,"a2i1p1s0t0",0.0095836
"58",41039,"a2i1p1s0t0",0.0084584
"59",41041,"a2i1p1s0t0",0.0071392
"60",41043,"a2i1p1s0t0",0.0092732
"61",41045,"a2i1p1s0t0",0.00776
"62",41047,"a2i1p1s0t0",0.008148
"63",41049,"a2i1p1s0t0",0.0071392
"64",41051,"a2i1p1s0t0",0.0117952
"65",41053,"a2i1p1s0t0",0.0067512
"66",41055,"a2i1p1s0t0",0.006402
"67",41057,"a2i1p1s0t0",0.0081092
"68",41059,"a2i1p1s0t0",0.00679
"69",41061,"a2i1p1s0t0",0.0074496
"70",41063,"a2i1p1s0t0",0.0072556
"71",41065,"a2i1p1s0t0",0.0091568
"72",41067,"a2i1p1s0t0",0.009894
"73",41069,"a2i1p1s0t0",0.0041516
"74",41071,"a2i1p1s0t0",0.007954
"75",41,"a2i1p0s1t0",0.0210865
"76",41001,"a2i1p0s1t0",0.0214485
"77",41003,"a2i1p0s1t0",0.0209055
"78",41005,"a2i1p0s1t0",0.0181
"79",41007,"a2i1p0s1t0",0.0228965
"80",41009,"a2i1p0s1t0",0.0172855
"81",41011,"a2i1p0s1t0",0.0189145
"82",41013,"a2i1p0s1t0",0.0145705
"83",41015,"a2i1p0s1t0",0.0241635
"84",41017,"a2i1p0s1t0",0.0187335
"85",41019,"a2i1p0s1t0",0.015385
"86",41021,"a2i1p0s1t0",0.013575
"87",41023,"a2i1p0s1t0",0.013575
"88",41025,"a2i1p0s1t0",0.0140275
"89",41027,"a2i1p0s1t0",0.021901
"90",41029,"a2i1p0s1t0",0.0218105
"91",41031,"a2i1p0s1t0",0.009412
"92",41033,"a2i1p0s1t0",0.0183715
"93",41035,"a2i1p0s1t0",0.014661
"94",41037,"a2i1p0s1t0",0.0223535
"95",41039,"a2i1p0s1t0",0.019729
"96",41041,"a2i1p0s1t0",0.016652
"97",41043,"a2i1p0s1t0",0.0216295
"98",41045,"a2i1p0s1t0",0.0181
"99",41047,"a2i1p0s1t0",0.019005
"100",41049,"a2i1p0s1t0",0.016652
"101",41051,"a2i1p0s1t0",0.027512
"102",41053,"a2i1p0s1t0",0.015747
"103",41055,"a2i1p0s1t0",0.0149325
"104",41057,"a2i1p0s1t0",0.0189145
"105",41059,"a2i1p0s1t0",0.0158375
"106",41061,"a2i1p0s1t0",0.017376
"107",41063,"a2i1p0s1t0",0.0169235
"108",41065,"a2i1p0s1t0",0.021358
"109",41067,"a2i1p0s1t0",0.0230775
"110",41069,"a2i1p0s1t0",0.0096835
"111",41071,"a2i1p0s1t0",0.0185525
"112",41,"a2i1p0s0t1",0.0180808
"113",41001,"a2i1p0s0t1",0.0183912
"114",41003,"a2i1p0s0t1",0.0179256
"115",41005,"a2i1p0s0t1",0.01552
"116",41007,"a2i1p0s0t1",0.0196328
"117",41009,"a2i1p0s0t1",0.0148216
"118",41011,"a2i1p0s0t1",0.0162184
"119",41013,"a2i1p0s0t1",0.0124936
"120",41015,"a2i1p0s0t1",0.0207192
"121",41017,"a2i1p0s0t1",0.0160632
"122",41019,"a2i1p0s0t1",0.013192
"123",41021,"a2i1p0s0t1",0.01164
"124",41023,"a2i1p0s0t1",0.01164
"125",41025,"a2i1p0s0t1",0.012028
"126",41027,"a2i1p0s0t1",0.0187792
"127",41029,"a2i1p0s0t1",0.0187016
"128",41031,"a2i1p0s0t1",0.0080704
"129",41033,"a2i1p0s0t1",0.0157528
"130",41035,"a2i1p0s0t1",0.0125712
"131",41037,"a2i1p0s0t1",0.0191672
"132",41039,"a2i1p0s0t1",0.0169168
"133",41041,"a2i1p0s0t1",0.0142784
"134",41043,"a2i1p0s0t1",0.0185464
"135",41045,"a2i1p0s0t1",0.01552
"136",41047,"a2i1p0s0t1",0.016296
"137",41049,"a2i1p0s0t1",0.0142784
"138",41051,"a2i1p0s0t1",0.0235904
"139",41053,"a2i1p0s0t1",0.0135024
"140",41055,"a2i1p0s0t1",0.012804
"141",41057,"a2i1p0s0t1",0.0162184
"142",41059,"a2i1p0s0t1",0.01358
"143",41061,"a2i1p0s0t1",0.0148992
"144",41063,"a2i1p0s0t1",0.0145112
"145",41065,"a2i1p0s0t1",0.0183136
"146",41067,"a2i1p0s0t1",0.019788
"147",41069,"a2i1p0s0t1",0.0083032
"148",41071,"a2i1p0s0t1",0.015908
"149",41,"a2i0p2s0t0",0.0090404
"150",41001,"a2i0p2s0t0",0.0091956
"151",41003,"a2i0p2s0t0",0.0089628
"152",41005,"a2i0p2s0t0",0.00776
"153",41007,"a2i0p2s0t0",0.0098164
"154",41009,"a2i0p2s0t0",0.0074108
