"","fips","familyCode","ageAdjustment","marriedUnder6","marriedOver6","marriedBoth","unmarriedUnder6","unmarriedOver6","unmarriedBoth"
"94",41007,"a2i1p0s0t1",0.2308,0.253,0.574,0.173,0.747,0.426,0.827
"95",41007,"a2i0p2s0t0",0.25,0.253,0.574,0.173,0.747,0.426,0.827
"96",41007,"a2i0p1s1t0",0.2692,0.253,0.574,0.173,0.747,0.426,0.827
"97",41007,"a2i0p1s0t1",0.2308,0.253,0.574,0.173,0.747,0.426,0.827
"98",41007,"a2i0p0s2t0",0.2899,0.253,0.574,0.173,0.747,0.426,0.827
"99",41007,"a2i0p0s1t1",0.497,0.253,0.574,0.173,0.747,0.426,0.827
"100",41007,"a2i0p0s0t2",0.213,0.253,0.574,0.173,0.747,0.426,0.827
"101",41009,"a1i2p0s0t0",0.25,0.191,0.611,0.198,0.809,0.389,0.802
"102",41009,"a1i1p1s0t0",0.5,0.191,0.611,0.198,0.809,0.389,0.802
"103",41009,"a1i1p0s1t0",0.2692,0.191,0.611,0.198,0.809,0.389,0.802
"104",41009,"a1i1p0s0t1",0.2308,0.191,0.611,0.198,0.809,0.389,0.802
"105",41009,"a1i0p2s0t0",0.25,0.191,0.611,0.198,0.809,0.389,0.802
"106",41009,"a1i0p1s1t0",0.2692,0.191,0.611,0.198,0.809,0.389,0.802
"107",41009,"a1i0p1s0t1",0.2308,0.191,0.611,0.198,0.809,0.389,0.802
"108",41009,"a1i0p0s2t0",0.2899,0.191,0.611,0.198,0.809,0.389,0.802
"109",41009,"a1i0p0s1t1",0.497,0.191,0.611,0.198,0.809,0.389,0.802
"110",41009,"a1i0p0s0t2",0.213,0.191,0.611,0.198,0.809,0.389,0.802
"111",41009,"a2i2p0s0t0",0.25,0.191,0.611,0.198,0.809,0.389,0.802
"112",41009,"a2i1p1s0t0",0.5,0.191,0.611,0.198,0.809,0.389,0.802
"113",41009,"a2i1p0s1t0",0.2692,0.191,0.611,0.198,0.809,0.389,0.802
"114",41009,"a2i1p0s0t1",0.2308,0.191,0.611,0.198,0.809,0.389,0.802
"115",41009,"a2i0p2s0t0",0.25,0.191,0.611,0.198,0.809,0.389,0.802
