GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
0500000US41031,41031,"Jefferson County, Oregon",7882,243,5506,301,2637,204,1272,208,860,197,490,130,70,46,177,69,2376,300,1823,262,520,146,12,20,21,20,0,22,0,22,0,22
0500000US41033,41033,"Josephine County, Oregon",34390,589,22009,700,12290,552,4022,358,2971,315,1587,320,844,237,295,88,12381,617,10399,515,1725,255,214,127,43,46,0,28,0,28,0,28
0500000US41035,41035,"Klamath County, Oregon",27378,410,18313,530,9161,498,4313,388,2575,315,1629,275,457,123,178,81,9065,519,7284,486,1505,300,130,95,96,84,0,28,50,53,0,28
0500000US41037,41037,"Lake County, Oregon",3566,161,2148,192,1241,145,291,96,406,122,141,96,32,25,37,36,1418,190,1177,177,206,86,26,27,9,16,0,17,0,17,0,17
0500000US41039,41039,"Lane County, Oregon",144912,977,86248,1114,43357,896,18986,825,14636,742,5965,518,1957,264,1347,233,58664,1117,41732,976,12920,788,2854,442,686,214,284,162,163,96,25,24
0500000US41041,41041,"Lincoln County, Oregon",20913,524,13045,489,7345,380,2283,278,2149,286,742,166,338,126,188,111,7868,530,6508,467,1153,191,148,78,57,48,2,6,0,25,0,25
0500000US41043,41043,"Linn County, Oregon",44722,532,30845,638,14881,587,6839,545,4978,429,2648,386,866,212,633,171,13877,736,10729,666,2546,389,296,110,228,118,78,83,0,28,0,28
0500000US41045,41045,"Malheur County, Oregon",10136,242,6879,291,3095,219,1344,200,1102,159,749,157,359,101,230,89,3257,259,2842,226,229,77,144,95,32,29,10,15,0,25,0,25
0500000US41047,41047,"Marion County, Oregon",113285,765,78306,946,32515,772,17057,996,13524,749,9031,604,3955,421,2224,347,34979,944,28957,822,4982,507,487,160,316,138,88,64,109,78,40,58
0500000US41049,41049,"Morrow County, Oregon",3741,154,2811,174,1233,122,414,110,560,132,349,86,117,49,138,55,930,152,791,136,104,47,12,19,0,19,0,19,23,33,0,19
0500000US41051,41051,"Multnomah County, Oregon",305939,1489,166106,2192,73553,1671,39609,1155,31287,1057,12574,733,5176,452,3907,489,139833,1915,101448,1604,31034,1310,5097,526,1574,265,432,129,198,102,50,29
0500000US41053,41053,"Polk County, Oregon",28239,469,19535,530,9307,428,3634,390,3547,428,1872,343,734,189,441,156,8704,520,6455,503,1572,303,472,187,200,128,5,8,0,28,0,28
0500000US41055,41055,"Sherman County, Oregon",827,61,484,47,269,37,79,20,71,26,37,18,16,13,12,9,343,52,270,44,66,26,6,5,1,2,0,12,0,12,0,12
0500000US41057,41057,"Tillamook County, Oregon",10236,340,6575,305,3765,259,1094,205,905,151,597,165,121,52,93,51,3661,310,3008,274,548,142,67,40,38,46,0,22,0,22,0,22
0500000US41059,41059,"Umatilla County, Oregon",26744,355,18424,438,7520,374,3842,406,3553,357,1948,309,1013,213,548,184,8320,476,6934,445,1034,219,330,140,20,17,2,4,0,28,0,28
0500000US41061,41061,"Union County, Oregon",10235,204,6763,255,3502,229,1277,171,1156,158,501,110,165,54,162,60,3472,266,2635,216,667,151,102,65,65,49,3,6,0,22,0,22
0500000US41063,41063,"Wallowa County, Oregon",2996,154,1847,150,1219,139,272,68,245,56,62,32,36,26,13,13,1149,122,1057,120,92,41,0,17,0,17,0,17,0,17,0,17
0500000US41065,41065,"Wasco County, Oregon",9612,296,6484,341,3339,242,1315,184,1051,161,523,153,100,53,156,70,3128,266,2603,285,436,134,60,44,29,31,0,22,0,22,0,22
0500000US41067,41067,"Washington County, Oregon",201771,975,135468,1304,55379,1131,30921,1166,29987,1084,12691,712,4141,438,2349,326,66303,1210,50998,1224,12672,753,1819,283,562,177,226,131,26,38,0,28
0500000US41069,41069,"Wheeler County, Oregon",625,47,410,41,311,39,41,16,38,14,9,10,7,10,4,5,215,40,205,38,7,7,3,3,0,12,0,12,0,12,0,12
0500000US41071,41071,"Yamhill County, Oregon",34138,503,24954,680,11324,523,4657,458,5175,465,2234,322,920,197,644,155,9184,593,7433,524,1372,279,214,86,120,60,45,56,0,28,0,28
