GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
0500000US41019,41019,"Douglas County, Oregon",18614,357,12609,746,1982,319,1071,250,684,174,4225,416,4647,489,6005,685,1846,464,505,296,112,68,87,78,733,243,409,145,4159,634,511,193,389,143,174,96,1577,384,1508,233
0500000US41021,41021,"Gilliam County, Oregon",323,67,218,65,19,15,22,17,0,12,70,37,107,45,105,51,42,38,0,12,16,16,7,11,5,8,14,14,63,38,26,18,14,14,0,12,10,11,13,17
0500000US41023,41023,"Grant County, Oregon",1295,45,952,105,130,54,80,34,43,25,358,66,341,74,343,104,137,73,16,16,19,19,8,12,50,35,44,32,206,79,13,13,40,37,2,4,80,48,71,36
0500000US41025,41025,"Harney County, Oregon",1427,86,1169,112,159,52,106,42,81,64,503,90,320,74,258,101,86,55,4,8,5,8,0,17,5,9,72,51,172,89,53,52,0,17,18,26,19,21,82,51
0500000US41027,41027,"Hood River County, Oregon",5150,166,3978,463,518,168,378,156,203,115,1387,249,1492,235,1172,422,270,190,0,22,82,87,14,23,109,94,65,61,902,398,93,79,146,137,34,53,349,172,280,143
0500000US41029,41029,"Jackson County, Oregon",39770,526,25769,1164,4207,407,3174,360,1648,303,8110,611,8630,603,14001,1164,3473,585,657,240,414,190,127,69,1175,355,1100,277,10528,1185,1442,334,903,244,487,230,3672,606,4024,468
0500000US41031,41031,"Jefferson County, Oregon",4472,215,2381,317,242,92,266,117,71,42,864,177,938,217,2091,339,816,276,194,81,121,93,13,19,249,130,239,100,1275,317,268,103,106,64,145,87,435,147,321,153
0500000US41033,41033,"Josephine County, Oregon",14710,438,10105,699,1600,257,786,216,370,145,3689,419,3660,420,4605,660,1525,411,200,111,243,129,46,45,490,238,546,178,3080,632,540,223,202,136,81,62,1218,363,1039,218
0500000US41035,41035,"Klamath County, Oregon",12632,404,8354,636,1246,200,817,159,396,134,2985,324,2910,341,4278,488,1346,330,225,117,227,144,56,58,306,166,532,201,2932,453,402,135,353,177,208,134,968,200,1001,257
0500000US41037,41037,"Lake County, Oregon",1286,115,1018,169,98,34,79,38,50,36,368,107,423,116,268,161,49,53,0,17,8,14,2,4,14,16,25,36,219,174,10,15,14,17,0,17,90,98,105,83
0500000US41039,41039,"Lane County, Oregon",61649,855,42196,1287,6367,467,4465,417,2090,299,14562,690,14712,790,19453,1122,5243,676,707,217,498,173,304,131,1680,299,2054,388,14210,990,1945,289,1598,296,848,251,4077,508,5742,559
0500000US41041,41041,"Lincoln County, Oregon",6865,241,4532,385,772,141,611,120,252,82,1453,194,1444,209,2333,336,738,270,144,86,53,46,20,23,219,112,302,151,1595,306,269,122,146,92,66,47,567,143,547,149
0500000US41043,41043,"Linn County, Oregon",25015,569,16927,975,2503,289,2025,266,886,227,5535,521,5978,597,8088,903,1819,423,281,141,122,96,112,95,611,238,693,228,6269,800,1048,264,548,177,331,163,2242,443,2100,394
0500000US41045,41045,"Malheur County, Oregon",6857,196,4890,393,793,170,505,123,197,82,1857,202,1538,190,1967,335,406,163,139,112,36,40,13,17,105,65,113,58,1561,336,187,103,101,70,63,55,541,150,669,164
0500000US41047,41047,"Marion County, Oregon",74661,846,50547,1676,7939,600,5628,509,2724,382,17211,980,17045,872,24114,1740,5398,907,847,212,698,242,351,126,1912,537,1590,346,18716,1470,2467,375,2366,406,1045,245,6569,698,6269,779
0500000US41049,41049,"Morrow County, Oregon",2870,109,2058,246,304,75,171,59,108,54,660,134,815,151,812,209,250,105,45,36,40,26,12,15,52,39,101,63,562,183,105,57,72,37,6,8,194,98,185,76
0500000US41051,41051,"Multnomah County, Oregon",136767,1213,93246,2262,18130,739,11504,686,5678,456,31031,1199,26903,1020,43521,2060,9110,916,1139,255,1142,272,616,178,3262,436,2951,545,34411,1860,4831,573,3741,552,1712,339,12386,836,11741,893
0500000US41053,41053,"Polk County, Oregon",16927,265,13127,643,1834,277,1326,244,721,180,4522,403,4724,341,3800,566,1039,341,195,136,120,85,61,44,329,138,334,151,2761,484,252,107,392,180,82,88,991,241,1044,232
0500000US41055,41055,"Sherman County, Oregon",327,57,217,53,17,16,26,16,12,6,91,29,71,35,110,48,42,33,11,19,15,20,0,12,8,6,8,8,68,31,8,11,20,17,2,3,12,10,26,19
0500000US41057,41057,"Tillamook County, Oregon",4527,148,3127,309,546,120,316,90,201,70,950,146,1114,189,1400,308,330,139,98,64,10,12,10,14,95,56,117,62,1070,283,75,61,138,121,107,83,286,103,464,183
0500000US41059,41059,"Umatilla County, Oregon",17621,492,10864,813,1635,265,1052,184,671,172,3538,385,3968,396,6757,748,1707,434,284,152,256,156,145,119,661,227,361,130,5050,670,941,227,660,218,255,106,1547,258,1647,328
0500000US41061,41061,"Union County, Oregon",5194,169,3884,278,607,111,439,91,156,57,1378,156,1304,152,1310,268,357,130,80,54,29,28,69,68,89,54,90,37,953,250,179,84,145,92,25,19,410,165,194,77
0500000US41063,41063,"Wallowa County, Oregon",1193,70,804,113,127,44,115,40,41,26,240,68,281,70,389,118,30,26,5,7,15,20,0,17,10,16,0,17,359,115,18,17,26,21,15,17,184,90,116,47
0500000US41065,41065,"Wasco County, Oregon",4814,209,3230,316,652,116,327,104,185,89,951,197,1115,184,1584,320,356,135,58,51,9,11,4,6,57,47,228,105,1228,332,209,101,101,67,52,42,311,118,555,222
0500000US41067,41067,"Washington County, Oregon",126717,916,98247,1791,16243,608,11735,664,5804,495,34118,1016,30347,1200,28470,1820,6595,924,1013,271,634,200,242,110,2336,506,2370,483,21875,1674,2705,444,2261,353,945,230,7128,770,8836,919
0500000US41069,41069,"Wheeler County, Oregon",174,49,122,45,13,9,6,5,1,3,23,18,79,37,52,31,18,20,8,10,5,8,0,12,0,12,5,9,34,24,6,7,7,8,1,2,9,9,11,9
0500000US41071,41071,"Yamhill County, Oregon",21267,526,15873,805,2297,262,1876,241,871,204,5489,441,5340,471,5394,626,1639,463,195,128,140,77,182,98,507,235,615,245,3755,549,287,136,294,114,234,119,1355,314,1585,353
